id_as400;enseigne;raison_sociale;adresse1;adresse2;adresse3;code_postal;code_postal_2;ville;langue;pays;devise;siret;forme_entreprise;contact_1;contact_2;contact_3;tel1;tel2;id_commercial_1;id_commercial_2;statut_commande_par;statut_livre;statut_facture
ES0100000;ALCAMPO CENTRALE;ALCAMPO CENTRALE;.;;;;;DIR;E;ES;EUR;;****;;;;;;;;N;N;N
ES0100001;ALCAMPO ESPAÑA;ALCAMPO ESPAÑA;.;;;;;DIR;E;ES;EUR;;****;;;;;;;;N;N;N
ES0100002;ALCAMPO PORTUGAL;ALCAMPO PORTUGAL;.;;;;;DIR;E;ES;EUR;;****;;;;;;;;N;N;N
ES0200000;EL CORTE INGLES CENTRALE;EL CORTE INGLES CENTRALE;.;;;;;DIR;E;ES;EUR;;****;;;;;;;;N;N;N
ES0200001;EL CORTE INGLES ESPAGNE;EL CORTE INGLES ESPAGNE;.;;;;;DIR;E;ES;EUR;;****;;;;;;;;N;N;N
ES0200002;EL CORTE INGLES PORTUGAL;EL CORTE INGLES PORTUGAL;.;;;;;DIR;E;ES;EUR;;****;;;;;;;;N;N;N
ES0208001;EL CORTE INGLES BARCELONA;EL CORTE INGLES S.A.;PG EL RAIGUER S/N;NAVE G.DE LA FUENTE;C/GRANOLLERS,5;8170;;BARCELONA;E;ES;EUR;ESA28017895;SA;;;;;;ES001;***;O;O;N
ES0228001;EL CORTE INGLES S.A.;EL CORTE INGLES S.A.;CALLE HERMOSILLA 112;;;28009;;MADRID;E;ES;EUR;ESA28017895;SA;;;;;;ES001;***;N;N;O
ES0228002;EL CORTE INGLES VALDEMORO;EL CORTE INGLES S.A.;CTRA ANDALUCIA KM 22800;VALDEMORO;;28340;;MADRID;E;ES;EUR;ESA28017895;SA;;;;;;ES001;***;O;O;N
ES9000000;VARIAS CENTRALES;VARIAS CENTRALES;.;;;;;DIR;E;ES;EUR;;****;;;;;;;;N;N;N
ES9000001;VARIAS CENTRALES ESPAÑA;VARIAS CENTRALES ESPAÑA;.;;;;;DIR;E;ES;EUR;;****;;;;;;;;N;N;N
ES9000002;VARIAS CENTRALES PORTUGAL;VARIAS CENTRALES PORTUGAL;.;;;;;DIR;E;PT;EUR;;****;;;;;;;;N;N;N
ES9008001;PRIVALIA VENTA DIRECTA S.A.;PRIVALIA VENTA DIRECTA S.A.;CALLE LLULL 113-119;;;8005;;BARCELONA;E;ES;EUR;ES A64080781;SA;;;;;;ES001;***;O;O;O
ES9028001;COSTCO WHOLESALE SPAIN S.L.U;COSTCO WHOLESALE SPAIN S.L.U.;AGUSTIN DE BETANCOURT 17;GETAFE;;28906;;GETAFE;E;ES;EUR;ES B-86509460;SA;;;;;;ES001;***;O;O;O
ES9046001;PRODUCTOS ALIMENTICIOS BELROS;PRODUCTOS ALIMENTICIOS BELROS;AVDA ALFAFAR 8;BENETUSSER;;46910;;VALENCIA;E;ES;EUR;ES A-46278586;SA;;;;;;ES001;***;O;N;O
ES9046002;PRODUCTOS ALIMENTICIOS BELROS;PRODUCTOS ALIMENTICIOS BELROS;CALLE MUELLE DE LA ESTACION 23;BENETUSSER;;46910;;VALENCIA;E;ES;EUR;ES A-46278586;SA;;;;;;ES001;***;N;O;N
PL0100000;ROSSMANN;ROSSMANN SUPERMARKETY;DROGERYJNE POLSKA SP. Z O.O.;UL. SW. TERESY 109;;91-22;2;LÓDZ;P;PL;PLN;;****;;;;;;***;***;O;O;O
PL0101000;ROSMANN SUPERMARKETY DROGERYJN;ROSSMANN SUPERMARKETY;DROGERYJNE POLSKA SP. Z O.O;UL. SW. TERESY 109;;91-22;2;LODZ;P;PL;PLN;;****;;;;;;***;***;N;N;N
PL0101001;ROSSMANN;ROSSMANN;SUPERMARKETY DROGERYJNE;POLSKA SP. Z O.O.;UL. SW. TERESY 109;91-22;2;LÓDZ;P;PL;PLN;;****;;;;;;***;***;O;O;O
PL0101002;ROSSMANN;ROSSMANN;MC LODZ;POLSKA SP. Z O.O.;UL. SW. TERESY 109;91-22;2;LÓDZ;P;PL;PLN;;****;;;;;;***;***;O;O;N
PL0101003;ROSSMANN;ROSSMANN;M PYSKOWICE;;UL. LOKALNA 9;44-12;0;PYSKOWICE;P;PL;PLN;;****;;;;;;***;***;O;O;N
PL0101004;ROSSMANN;ROSSMANN;M GRUDZIADZ;POLSKA SP. Z O.O.;UL. DROGA LAKOWA 118;86-30;0;GRUDZIADZ;P;PL;PLN;;****;;;;;;***;***;O;O;N
PL0101005;ROSSMANN;ROSSMANN;M STRYKOW;SOSNOWIEC 1A;;95-01;0;STRYKOW;P;PL;PLN;;****;;;;;;***;***;O;O;N
PL0140000;CENTRAL GROUP ABC;CENTRAL GROUP ABC;1, AVENUE DES MARRONNIERS;ZAC DES PETITS CARREAUX;;94380;;BONNEUIL SUR MARNE;F;FR;EUR;;****;;;;143777309;143777308;***;***;N;N;N
PL0140100;ABC DISTRIBUTION;ABC DISTRIBUTION;1, AVENUE DES MARRONNIERS;ZAC DES PETITS CARREAUX;;94380;;BONNEUIL SUR MARNE;F;FR;EUR;;****;;;;143777309;143777308;***;***;N;N;N
PL0140101;ABC DISTRIBUTION;ABC DISTRIBUTION;3, AVENUE DES VIOLETTES;ZAC DES PETITS CARREAUX;;94380;;BONNEUIL SUR MARNE;F;FR;EUR;;****;;;;143777309;143777308;***;***;O;O;O
PL0200000;POLBITA CENTRALE INTERNATIONAL;POLBITA CENTRALE INTERNATIONAL;...;;;;;.;P;PL;PLN;;SPZO;;;;;;***;***;O;O;O
PL0201000;POLBITA CENTRAL POLOGNE;POLBITA CENTRALE POLOGNE;.;;;.;;.;P;PL;PLN;;****;;;;;;***;***;N;N;N
PL0201001;NATURA SP. Z O.O.;NATURA SP. Z O.O.;UL. POJEZIERSKA 90A;;;91-34;1;LÓDZ;P;PL;PLN;;****;;;;;;***;***;O;O;O
PL0201002;NATURA SP. Z O.O.;NATURA SP. Z O.O.;UL. LESZNOWSKA 20B;;;mai-87;0;BLONIE;P;PL;PLN;;****;;;;;;***;***;O;O;N
PL0300000;CARREFOUR SP. Z O.O.;CARREFOUR SP. Z O.O.;..;;;;;WARSZAWA;P;PL;PLN;20710;SPZO;;;;;;***;***;O;N;O
PL0301000;CARREFOUR POLSKA SP. Z O.O.;CARREFOUR POLSKA CENTRALE;.;;;.;;.;P;PL;PLN;;****;;;;;;***;***;N;N;N
PL0301001;CARREFOUR POLSKA SP. Z O.O.;CARREFOUR POLSKA SP. Z O.O.;UL. TARGOWA 72;;;mars-73;4;WARSZAWA;P;PL;PLN;20710;****;;;;;;***;***;O;O;O
PL0301002;CARREFOUR BEDZIN;CARREFOUR BEDZIN;UL. SWIECZEWSKIEGO 115;;;42-50;4;BEDZIN;P;PL;PLN;;****;;;;;;***;***;O;O;N
PL0301003;FM POLSKA;FM POLSKA;CARREFOUR TOMASZÓW MAZOWIECKI;UL. WARSZAWSKA 153;;97200;;TOMASZÓW MAZOWIECKI;P;PL;PLN;;****;;;;;;***;***;O;O;N
PL0301004;CARREFOUR BYDGOSZCZ;CARREFOUR BYDGOSZCZ;UL. BL. FRANCISZKA DACHTERY 6;;;85-83;4;BYDGOSZCZ;P;PL;PLN;;****;;;;;;***;***;O;O;N
PL0400000;LECLERC CENTRALE INTERNATIONAL;LECLERC CENTRALE INTERNATIONAL;;;;;;.;P;PL;PLN;;****;;;;;;***;***;O;O;O
PL0401000;GALEC SP. Z O.O.;GALEC SP. Z O.O.;UL. JUTRZENKI 156;;;févr-23;1;WARSZAWA;P;PL;PLN;;SPZO;;;;;;***;***;O;O;O
PL0401001;IMMOMOK SP. Z O.O.;IMMOMOK SP. Z O.O.;UL.J. CISZEWSKIEGO 15;;;févr-77;7;WARSZAWA;P;PL;PLN;;SPZO;;;;;;***;***;O;O;O
PL0401002;KWITNACADIS SP. Z O.O.;KWITNACADIS SP. Z O.O.;UL. ASPEKT 79;;;janv-90;4;WARSZAWA;P;PL;PLN;;****;;;;;;***;***;O;O;O
PL0401003;LUBLINDIS POLSKA SP. Z O.O.;LUBLINDIS POLSKA SP. Z O.O.;UL. TOMASZA ZANA 19;;;20-60;1;LUBLIN;P;PL;PLN;;****;;;;;;***;***;O;O;O
PL0401004;LODZDIS SP. Z O.O.;LODZDIS SP. Z O.O.;UL. INFLANCKA 45;;;91-85;2;LODZ;P;PL;PLN;;SPZO;;;;;;***;***;O;O;O
PL0401005;WARSZADIS SP. Z O.O.;WARSZADIS SP. Z O.O.;UL. JUTRZENKI 156;;;févr-23;1;WARSZAWA;P;PL;PLN;;****;;;;;;***;***;O;O;O
PL0401006;RADOMDIS POLSKA SP. Z O.O.;RADOMDIS POLSKA SP. Z O.O.;UL. TORUNSKA 1;;;26-61;2;RADOM;P;PL;PLN;;****;;;;;;***;***;O;O;O
PL0401007;WROCLAWDIS POLSKA SP. Z O.O.;WROCLAWDIS POLSKA SP. Z O.O.;UL. ZAKLADOWA 2-4;;;50-23;1;WROCLAW;P;PL;PLN;;****;;;;;;***;***;O;O;O
PL0401008;RZESZÓWDIS SP. Z O.O.;RZESZÓWDIS SP. Z O.O.;UL. REJTANA 69;;;35-95;9;RZESZÓW;P;PL;PLN;;****;;;;;;***;***;O;O;O
PL0401009;TURISDIS SP. Z O.O.;TURISDIS SP. Z O.O.;UL. TURYSTYCZNA 1;;;20-20;7;LUBLIN;P;PL;PLN;;****;;;;;;***;***;O;O;O
PL0401010;BELCHATÓWDIS SP. Z O.O.;BELCHATÓWDIS SP. Z O.O.;UL. STASZICA 20;;;97-40;0;BELCHATÓW;P;PL;PLN;;****;;;;;;***;***;O;O;O
PL0401011;KLODZKODIS SP. Z O.O.;KLODZKODIS SP. Z O.O.;UL. DUSZNICKA 1A;;;57-30;0;KLODZKO;P;PL;PLN;;****;;;;;;***;***;O;O;O
PL0401012;ELBLAGDIS SP. Z O.O.;ELBLAGDIS SP. Z O.O.;UL. ZEROMSKIEGO 2;;;82-30;0;ELBLAG;P;PL;PLN;;****;;;;;;***;***;O;O;O
PL0401013;TYCHYDIS SP. Z O.O.;TYCHYDIS SP. Z O.O.;UL. BUDOWLANYCH 75;;;43-10;0;TYCHY;P;PL;PLN;;****;;;;;;***;***;O;O;O
